"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"2022991220927",2022,"991220927",153248,828301,-6.095493,57.278493,"Police Scotland","Serious",1,1,2022-09-17,"Saturday",12:00:00,NA,"S12000017","S12000017","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining + high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2022-09-17 12:00:00
"2022991220993",2022,"991220993",330272,667770,-3.116644,55.897982,"Police Scotland","Slight",2,1,2022-09-07,"Wednesday",17:15:00,NA,"S12000036","S12000036","A",NA,"Dual carriageway",70,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Rural","No","Data missing or out of range","-1",2022-09-07 17:15:00
"2022991221035",2022,"991221035",329309,674293,-3.133751,55.956437,"Police Scotland","Serious",1,1,2022-09-18,"Sunday",13:45:00,NA,"S12000036","S12000036","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","A",NA,"None within 50 metres","Central refuge","Daylight","Fine no high winds","Dry","None","None","Urban","No","Data missing or out of range","-1",2022-09-18 13:45:00
"2022991221102",2022,"991221102",187480,732896,-5.449117,56.440223,"Police Scotland","Slight",4,2,2022-09-20,"Tuesday",08:30:00,NA,"S12000035","S12000035","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","Other object on road","Rural","Yes","Data missing or out of range","-1",2022-09-20 08:30:00
"2022991221128",2022,"991221128",297272,911722,-3.7437,58.082589,"Police Scotland","Serious",2,2,2022-09-20,"Tuesday",11:19:00,NA,"S12000017","S12000017","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2022-09-20 11:19:00
"2022991221151",2022,"991221151",229387,648223,-4.716276,55.697368,"Police Scotland","Slight",2,1,2022-09-16,"Friday",14:30:00,NA,"S12000021","S12000021","A",NA,"Roundabout",60,"Roundabout","Give way or uncontrolled","A",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Rural","No","Data missing or out of range","-1",2022-09-16 14:30:00
"2022991221156",2022,"991221156",253462,665209,-4.342729,55.857733,"Police Scotland","Slight",2,1,2022-09-20,"Tuesday",15:32:00,NA,"S12000049","S12000049","A",NA,"Dual carriageway",30,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Data missing or out of range","-1",2022-09-20 15:32:00
"2022991221197",2022,"991221197",252825,850179,-4.458843,57.517785,"Police Scotland","Serious",1,1,2022-09-15,"Thursday",09:00:00,NA,"S12000017","S12000017","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Daylight","Fine no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2022-09-15 09:00:00
"2022991221521",2022,"991221521",299511,912978,-3.70629,58.094379,"Police Scotland","Serious",3,2,2022-09-21,"Wednesday",07:47:00,NA,"S12000017","S12000017","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2022-09-21 07:47:00
"2022991221639",2022,"991221639",290391,667277,-3.753935,55.886121,"Police Scotland","Serious",1,1,2022-09-21,"Wednesday",15:30:00,NA,"S12000040","S12000040","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","A",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2022-09-21 15:30:00
